word,frequency
bell,26
cookery,26
bird,26
saddle,26
goes,26
infirmarian,26
probate,26
dyeing,26
doctors,26
sinker,26
spring,26
shopboy,26
craneman,26
pres,26
stockbrokers,26
catcher,25
analytical,25
getting,25
imperial,25
cropper,25
superioress,25
duffer,25
deaths,25
aux,25
alderman,25
metropolitan,25
baptist,25
portor,25
mess,25
linon,25
dyers,25
domestics,25
reed,25
explosive,25
museum,25
funds,25
powder,25
administrator,25
credit,25
shaker,25
fiddler,25
holer,24
cellarman,24
cutters,24
record,24
finishers,24
temperance,24
vocalist,24
tobacconists,24
account,24
dep,24
steamboat,24
secy,24
unoccupied,24
travellers,24
comd,24
weave,24
registration,24
kerry,24
relative,24
backer,24
sec,24
militiaman,24
shipbuilder,24
stillroom,24
insp,24
meath,24
visiter,24
crier,24
spin,24
sheeting,24
jr,24
births,24
gunsmith,24
sheriffs,24
visitors,24
ferryman,23
file,23
funeral,23
oyster,23
nipper,23
ma,23
colliery,23
bootman,23
woodranger,23
paviour,23
gamekeepers,23
forces,23
rates,23
permanent,23
onion,23
who,23
peddlar,23
boatsman,23
fa,23
bench,23
riding,23
bars,23
la,23
still,23
handkerchiefs,23
ds,23
milliners,23
cooks,23
panter,23
leader,23
bonded,23
great,23
embosser,23
hon,23
engr,23
incomes,23
flowering,23
gn,23
hammer,23
worsted,23
peer,23
cigar,22
wardsman,22
mil,22
one,22
manuf,22
str,22
stableboy,22
comp,22
stockings,22
salmon,22
cord,22
books,22
formers,22
clogger,22
vinter,22
cartmaker,22
honourable,22
reelers,22
handloom,22
charing,22
architectural,22
assis,22
whole,22
munster,22
key,22
slatemaker,22
commissioners,22
dl,22
se,22
sis,22
portrait,22
point,22
fine,22
electrican,22
carting,22
draughts,22
drugs,22
laboratory,22
lodgers,22
caring,22
stand,22
audit,22
dressing,22
rail,22
municipal,21
heating,21
hussars,21
oak,21
liquor,21
skinner,21
lance,21
phys,21
skipper,21
faith,21
paver,21
stove,21
leave,21
riser,21
had,21
trace,21
smoothers,21
crisper,21
provincial,21
