occupation,count,corrected_occupation,change_category,unknown_words,suggested_occupation
Traveler,28,Traveler,UNCHANGED,Traveler,Raveler
Agricultural Laborour,27,Agricultural Laborour,UNCHANGED,Laborour,Agricultural Laborous
Agrlt Labourer,27,Agrlt Labourer,UNCHANGED,Agrlt,Agal Labourer
Farm Laburer,27,Farm Laburer,UNCHANGED,Laburer,Farm Labourer
Farmer's Daugter,27,Farmer's Daugter,UNCHANGED,Daugter,Farmer's Daughter
Flax Spiner,27,Flax Spiner,UNCHANGED,Spiner,Flax Spiler
Houswife,27,Houswife,UNCHANGED,Houswife,Housewife
Machinest in Wareroom,27,Machinest in Wareroom,UNCHANGED,Machinest,Machinist in Wareroom
Seamstess,27,Seamstess,UNCHANGED,Seamstess,Seamsters
Stonebreaker,27,Stonebreaker,UNCHANGED,Stonebreaker,Bonebreaker
Agrictural Labourer,26,Agrictural Labourer,UNCHANGED,Agrictural,Agricultural Labourer
Agricultural Labrourer,26,Agricultural Labrourer,UNCHANGED,Labrourer,Agricultural Labourer
Agricultural Laburer,26,Agricultural Laburer,UNCHANGED,Laburer,Agricultural Labourer
Constable R.I. Constabulary,26,Constable R.I. Constabulary,UNCHANGED,R.I,Constable Rti. Constabulary
Farmer's Daughte,26,Farmer's Daughte,UNCHANGED,Daughte,Farmer's Daughter
Farmers Dgtr,26,Farmers Dgtr,UNCHANGED,Dgtr,Farmers Tgt
Genral Servant,26,Genral Servant,UNCHANGED,Genral,Geneal Servant
Barrister in Practice,25,Barrister in Practice,UNCHANGED,Practice,Barrister in Practic
Car Propritor,25,Car Propritor,UNCHANGED,Propritor,Car Propretor
Chool,25,Chool,UNCHANGED,Chool,Cohol
Constable of R.I.C,25,Constable of R.I.C,UNCHANGED,R.I.C,Constable of Ric
Farmers Neice,25,Farmers Neice,UNCHANGED,Neice,Farmers Beice
Gen Farm Labr,25,Gen Farm Labr,UNCHANGED,Labr,Gen Farm Laur
General Servent Domestic,25,General Servent Domestic,UNCHANGED,Servent,General Serment Domestic
Ladys Maid Domestic Servant,25,Ladys Maid Domestic Servant,UNCHANGED,Ladys,Lades Maid Domestic Servant
Linnen Waver,25,Linnen Waver,UNCHANGED,Linnen,Linten Waver
Member of Sarets Comty,25,Member of Sarets Comty,UNCHANGED,Sarets; Comty,Member of Sarees Comby
Millinar,25,Millinar,UNCHANGED,Millinar,Millibar
Scholr,25,Scholr,UNCHANGED,Scholr,Schola
Woolen Draper,25,Woolen Draper,UNCHANGED,Woolen,Coolen Draper
Agricultual Labourer,24,Agricultual Labourer,UNCHANGED,Agricultual,Agricultural Labourer
Agricultura Labourer,24,Agricultura Labourer,UNCHANGED,Agricultura,Agricultural Labourer
Agriculturl Labourer,24,Agriculturl Labourer,UNCHANGED,Agriculturl,Agricultural Labourer
Agrl Labour,24,Agrl Labour,UNCHANGED,Agrl,Agre Labour
Auctioner,24,Auctioner,UNCHANGED,Auctioner,Actioner
Camberick Weaver,24,Camberick Weaver,UNCHANGED,Camberick,Cambric Weaver
Cooke Domestic Servant,24,Cooke Domestic Servant,UNCHANGED,Cooke,Cookee Domestic Servant
Domestic Servan,24,Domestic Servan,UNCHANGED,Servan,Domestic Serval
Dres Maker,24,Dres Maker,UNCHANGED,Dres,Tres Maker
Embroidress,24,Embroidress,UNCHANGED,Embroidress,Embroideress
Famer Son,24,Famer Son,UNCHANGED,Famer,Gamer Son
Farme's Daughter,24,Farme's Daughter,UNCHANGED,Farme's,Fame's Daughter
Groome,24,Groome,UNCHANGED,Groome,Groove
Horse Trainor,24,Horse Trainor,UNCHANGED,Trainor,Horse Trainer
Housepainter,24,Housepainter,UNCHANGED,Housepainter,Housepaint
Licensed Driver,24,Licensed Driver,UNCHANGED,Licensed,Licenced Driver
Mantlemaker,24,Mantlemaker,UNCHANGED,Mantlemaker,Candlemaker
Samester,24,Samester,UNCHANGED,Samester,Lamester
Seamstriss,24,Seamstriss,UNCHANGED,Seamstriss,Seamstress
Srs of Mercy,24,Srs of Mercy,UNCHANGED,Srs,Grs of Mercy
A.B. Seaman,23,A.B. Seaman,UNCHANGED,A.B,Alb. Seaman
At Schoolar,23,At Schoolar,UNCHANGED,Schoolar,At Scholar
Attendent,23,Attendent,UNCHANGED,Attendent,Attendant
Domestic Servant Parlourmaid,23,Domestic Servant Parlourmaid,UNCHANGED,Parlourmaid,Domestic Servant Parlormaid
Farmes Wife,23,Farmes Wife,UNCHANGED,Farmes,Farmers Wife
Gunner Wicklow Artillery Militia,23,Gunner Wicklow Artillery Militia,UNCHANGED,Wicklow,Gunner Winklot Artillery Militia
Housekeepe,23,Housekeepe,UNCHANGED,Housekeepe,Housekeep
Husekeeper,23,Husekeeper,UNCHANGED,Husekeeper,Housekeeper
J.P. Farmer,23,J.P. Farmer,UNCHANGED,J.P,Jap. Farmer
Lauberer,23,Lauberer,UNCHANGED,Lauberer,Larderer
Pedlor,23,Pedlor,UNCHANGED,Pedlor,Pedlar
R.I. Constabulary,23,R.I. Constabulary,UNCHANGED,R.I,Rti. Constabulary
Scholard,23,Scholard,UNCHANGED,Scholard,Scholar
Schooll,23,Schooll,UNCHANGED,Schooll,Schools
Telegraph Messanger,23,Telegraph Messanger,UNCHANGED,Messanger,Telegraph Messenger
Annuties,22,Annuties,UNCHANGED,Annuties,Annuities
Assistant Gardner,22,Assistant Gardner,UNCHANGED,Gardner,Assistant Gardener
Camrick Weaver,22,Camrick Weaver,UNCHANGED,Camrick,Carrick Weaver
Chorwoman unemployed,22,Chorwoman unemployed,UNCHANGED,Chorwoman,Charwoman unemployed
Cochman,22,Cochman,UNCHANGED,Cochman,Coachman
Damash Weaver,22,Damash Weaver,UNCHANGED,Damash,Damask Weaver
Domestice Servant,22,Domestice Servant,UNCHANGED,Domestice,Domestics Servant
Farme Son,22,Farme Son,UNCHANGED,Farme,Fame Son
General Servan Domestic,22,General Servan Domestic,UNCHANGED,Servan,General Serval Domestic
Licensed Grocer,22,Licensed Grocer,UNCHANGED,Licensed,Licenced Grocer
Machine Sticher,22,Machine Sticher,UNCHANGED,Sticher,Machine Stitcher
Millhand,22,Millhand,UNCHANGED,Millhand,Midland
Nailmaker,22,Nailmaker,UNCHANGED,Nailmaker,Sailmaker
Revitter,22,Revitter,UNCHANGED,Revitter,Remitter
Ry Porter,22,Ry Porter,UNCHANGED,Ry,Rh Porter
Scoholars,22,Scoholars,UNCHANGED,Scoholars,Scholars
Scollers,22,Scollers,UNCHANGED,Scollers,Scolders
Shipherd,22,Shipherd,UNCHANGED,Shipherd,Shepherd
Stonedresser,22,Stonedresser,UNCHANGED,Stonedresser,Stonedresser
Agricultrl Labourer,21,Agricultrl Labourer,UNCHANGED,Agricultrl,Agricultor Labourer
Cartaker,21,Cartaker,UNCHANGED,Cartaker,Carmaker
Embrodier,21,Embrodier,UNCHANGED,Embrodier,Embodier
Employed in Woolen Factory,21,Employed in Woolen Factory,UNCHANGED,Woolen,Employed in Coolen Factory
Farmer Daugher,21,Farmer Daugher,UNCHANGED,Daugher,Farmer Laugher
General Labr.,21,General Labr.,UNCHANGED,Labr,General Laur.
Gnl Labourer,21,Gnl Labourer,UNCHANGED,Gnl,Gol Labourer
House and Parlourmaid Domestic Servant,21,House and Parlourmaid Domestic Servant,UNCHANGED,Parlourmaid,House and Parlormaid Domestic Servant
House Buisness,21,House Buisness,UNCHANGED,Buisness,House Business
Housemaid Domestic Sevt,21,Housemaid Domestic Sevt,UNCHANGED,Sevt,Housemaid Domestic Seve
Infint,21,Infint,UNCHANGED,Infint,Infin
Ironturner,21,Ironturner,UNCHANGED,Ironturner,Ironturner
Labourer in Brickworks,21,Labourer in Brickworks,UNCHANGED,Brickworks,Labourer in Brickwork
Machnist,21,Machnist,UNCHANGED,Machnist,Machinist
Printer-Compositer,21,Printer Compositer,NORMALIZATION,Compositer,Printer Composites
Ry Labourer,21,Ry Labourer,UNCHANGED,Ry,Rh Labourer
Sticther,21,Sticther,UNCHANGED,Sticther,Stitcher
Telegraphist G.P.O,21,Telegraphist G.P.O,UNCHANGED,G.P.O,Telegraphist Gapo
Agricull Labourer,20,Agricull Labourer,UNCHANGED,Agricull,Auricula Labourer
Callier,20,Callier,UNCHANGED,Callier,Pallier
Comercial Clerk,20,Comercial Clerk,UNCHANGED,Comercial,Commercial Clerk
Cook Domestic Sevt,20,Cook Domestic Sevt,UNCHANGED,Sevt,Cook Domestic Seve
Dary Maid,20,Dary Maid,UNCHANGED,Dary,Dray Maid
Domestic Servat,20,Domestic Servat,UNCHANGED,Servat,Domestic Serval
Domestic Svt,20,Domestic Svt,UNCHANGED,Svt,Domestic Vt
Farmerest,20,Farmerest,UNCHANGED,Farmerest,Farmeress
Fars Daughter,20,Fars Daughter,UNCHANGED,Fars,Firs Daughter
Fawl Dealer,20,Fawl Dealer,UNCHANGED,Fawl,Fall Dealer
General Domestic Sevt,20,General Domestic Sevt,UNCHANGED,Sevt,General Domestic Seve
