occupation,count,corrected_occupation,change_category,unknown_words,suggested_occupation
Loding House Keeper,15,Loding Housekeeper,COMPOUND_KEEPER,Loding,Lodging Housekeeper
Mesage Boy,15,Mesage Boy,UNCHANGED,Mesage,Message Boy
No Busines,15,No Busines,UNCHANGED,Busines,No Business
Parlor Maid Domestic,15,Parlor Maid Domestic,STANDARD,Parlor,Parlour Maid Domestic
Parlormaid Domestic Servant,15,Parlormaid Domestic Servant,STANDARD,Parlormaid,Parlourmaid Domestic Servant
Seamstreess,15,Seamstreess,UNCHANGED,Seamstreess,Seamstress
Seemster,15,Seemster,UNCHANGED,Seemster,Seamster
Shcholar,15,Shcholar,UNCHANGED,Shcholar,Scholar
Armey Pensioner,14,Armey Pensioner,UNCHANGED,Armey,Army Pensioner
At Schooll,14,At Schooll,UNCHANGED,Schooll,At School
Attending Chool,14,Attending Chool,UNCHANGED,Chool,Attending School
Dreesmaker,14,Dreesmaker,UNCHANGED,Dreesmaker,Dressmaker
Factory Machinest,14,Factory Machinest,UNCHANGED,Machinest,Factory Machinist
Famer's Son,14,Famer's Son,UNCHANGED,Famer's,Farmer's Son
Heards Man,14,Heards Man,UNCHANGED,Heards,Herds Man
Labourer (Agricl),14,Labourer Agricl,NORMALIZATION,Agricl,Labourer Agric
Labourrer,14,Labourrer,UNCHANGED,Labourrer,Labourer
Linnen Wever,14,Linnen Wever,UNCHANGED,Wever,Linnen Weaver
Linner Weaver,14,Linner Weaver,UNCHANGED,Linner,Linnen Weaver
Machienest,14,Machienest,UNCHANGED,Machienest,Machinist
Seemstress,14,Seemstress,UNCHANGED,Seemstress,Seamstress
Sheppherd,14,Sheppherd,UNCHANGED,Sheppherd,Shepherd
Steamstress,14,Steamstress,UNCHANGED,Steamstress,Seamstress
Tobacco Spiner,14,Tobacco Spiner,UNCHANGED,Spiner,Tobacco Spinner
Tobbaco Spinner,14,Tobbaco Spinner,UNCHANGED,Tobbaco,Tobacco Spinner
Agricultural Labouror,13,Agricultural Labouror,UNCHANGED,Labouror,Agricultural Labourer
Bording House Keeper,13,Bording Housekeeper,COMPOUND_KEEPER,Bording,Boarding Housekeeper
Charewoman,13,Charewoman,UNCHANGED,Charewoman,Charwoman
Childrens Maid Domestic Servant,13,Childrens Maid Domestic Servant,STANDARD,Childrens,Children Maid Domestic Servant
Chorwoman,13,Chorwoman,UNCHANGED,Chorwoman,Charwoman
Domestc Servant,13,Domestc Servant,UNCHANGED,Domestc,Domestic Servant
Fars Son,13,Fars Son,UNCHANGED,Fars,Farm Son
Garderner,13,Garderner,UNCHANGED,Garderner,Gardener
General Sevant,13,General Sevant,UNCHANGED,Sevant,General Servant
House Worke,13,House Worke,UNCHANGED,Worke,House Worker
Labrour General,13,Labrour General,STANDARD,Labrour,Labour General
Land Stward,13,Land Stward,UNCHANGED,Stward,Land Steward
Landry Maid,13,Landry Maid,UNCHANGED,Landry,Laundry Maid
Linnon Weaver,13,Linnon Weaver,UNCHANGED,Linnon,Linnen Weaver
Probationes Nurse,13,Probationes Nurse,UNCHANGED,Probationes,Probationer Nurse
Servant Domc,13,Servant Domc,UNCHANGED,Domc,Servant Dom
Shepheard,13,Shepheard,UNCHANGED,Shepheard,Shepherd
Towl Dealer,13,Towl Dealer,UNCHANGED,Towl,Fowl Dealer
Tram Conducter,13,Tram Conducter,UNCHANGED,Conducter,Tram Conductor
Wooll Weaver,13,Wooll Weaver,UNCHANGED,Wooll,Wool Weaver
Agricultural Labourar,12,Agricultural Labourar,UNCHANGED,Labourar,Agricultural Labourer
Brewary Labourer,12,Brewary Labourer,UNCHANGED,Brewary,Brewery Labourer
Cooke Domestic,12,Cooke Domestic,STANDARD,Cooke,Cook Domestic
Damsk Weaver,12,Damsk Weaver,UNCHANGED,Damsk,Damask Weaver
Dary Man,12,Dary Man,UNCHANGED,Dary,Dairy Man
Embroderer,12,Embroderer,UNCHANGED,Embroderer,Embroiderer
Fancey Box Maker,12,Fancey Box Maker,UNCHANGED,Fancey,Fancy Box Maker
Farm Laboures,12,Farm Laboures,UNCHANGED,Laboures,Farm Labourer
Farmer's Neice,12,Farmer's Neice,UNCHANGED,Neice,Farmer's Niece
Farmor,12,Farmor,UNCHANGED,Farmor,Farmer
Gardener Domestic Svt,12,Gardener Domestic Svt,STANDARD,Svt,Gardener Domestic St
General Labiour,12,General Labiour,UNCHANGED,Labiour,General Labour
General Laubourer,12,General Laubourer,UNCHANGED,Laubourer,General Labourer
