occupation,count,corrected_occupation,change_category
House Property,327,House Property,STANDARD
Constable R.I.C,324,Constable R.I.C,STANDARD
Wash Woman,324,Wash Woman,STANDARD
Carpenter Master,323,Carpenter Master,STANDARD
Quarry Labourer,323,Quarry Labourer,STANDARD
Carpenter and Farmer,320,Carpenter and Farmer,UNCHANGED
General Servant Dom,320,General Servant Dom,STANDARD
Vintner,319,Vintner,UNCHANGED
Shirt Factory Worker,318,Shirt Factory Worker,UNCHANGED
Vanman,318,Vanman,UNCHANGED
Married Woman,316,Married Woman,UNCHANGED
Religions,316,Religions,UNCHANGED
Spinner Flax,316,Spinner Flax,STANDARD
Pig Buyer,315,Pig Buyer,STANDARD
Fruit Dealer,314,Fruit Dealer,STANDARD
Bank Manager,311,Bank Manager,UNCHANGED
Tea Agent,311,Tea Agent,STANDARD
Laundry Maid,310,Laundry Maid,STANDARD
Saleswoman,309,Saleswoman,UNCHANGED
Hawker,308,Hawker,UNCHANGED
Doffer,306,Doffer,UNCHANGED
Hem Stitcher,306,Hem Stitcher,STANDARD
Police Pensioner,304,Police Pensioner,UNCHANGED
Gentlewoman,302,Gentlewoman,UNCHANGED
Small Farmer,295,Small Farmer,STANDARD
Nun,294,Nun,UNCHANGED
Shirt Cutter,294,Shirt Cutter,STANDARD
Housekeeper Domestic,293,Housekeeper Domestic,STANDARD
Carpenter Unemployed,292,Carpenter Unemployed,STANDARD
Folder,292,Folder,STANDARD
Shopman,291,Shopman,UNCHANGED
Winder in Factory,291,Winder in Factory,UNCHANGED
Retired Servant,289,Retired Servant,STANDARD
Beggar,288,Beggar,UNCHANGED
Ironmonger,288,Ironmonger,STANDARD
Shirtmaker,287,Shirtmaker,UNCHANGED
Collier,286,Collier,UNCHANGED
Ship Yard Labourer,285,Ship Yard Labourer,STANDARD
Chemist,284,Chemist,UNCHANGED
Coast Guard,283,Coast Guard,STANDARD
Railway Ganger,283,Railway Ganger,STANDARD
Pig Dealer,281,Pig Dealer,STANDARD
Room Keeper,281,Room Keeper,STANDARD
Mill Labourer,280,Mill Labourer,STANDARD
Publican and Grocer,279,Publican and Grocer,UNCHANGED
Coal Merchant,278,Coal Merchant,STANDARD
Merchant Tailor,278,Merchant Tailor,STANDARD
Brass Finisher,274,Brass Finisher,STANDARD
Midwife,274,Midwife,UNCHANGED
Farmer's Mother,273,Farmer's Mother,STANDARD
Housemaid Domestic,273,Housemaid Domestic,STANDARD
Employed at Home,271,Employed at Home,UNCHANGED
Linen Merchant,271,Linen Merchant,UNCHANGED
Butler Domestic Servant,270,Butler Domestic Servant,STANDARD
Draperess,269,Draperess,UNCHANGED
A Scholar,268,A Scholar,UNCHANGED
Farrier,268,Farrier,UNCHANGED
Hemsticher,268,Hemsticher,UNCHANGED
Hotel Proprietor,265,Hotel Proprietor,STANDARD
Stoker,265,Stoker,UNCHANGED
Flax Reeler,264,Flax Reeler,UNCHANGED
Household Duties,264,Household Duties,STANDARD
Moulder,264,Moulder,UNCHANGED
Not Attending School,263,Not Attending School,STANDARD
Letter Carrier,260,Letter Carrier,STANDARD
Poulterer,259,Poulterer,UNCHANGED
Warehouseman,259,Warehouseman,UNCHANGED
Embroider,258,Embroider,UNCHANGED
Farmer's Widow,258,Farmer's Widow,STANDARD
Assistant Farmer,257,Assistant Farmer,STANDARD
General Domestic,257,General Domestic,STANDARD
Linen Bleacher,257,Linen Bleacher,STANDARD
Private Means,257,Private Means,STANDARD
Assistant in Shop,256,Assistant in Shop,UNCHANGED
Apprentice Carpenter,255,Apprentice Carpenter,STANDARD
Farmer Retired,254,Farmer Retired,STANDARD
Widow,253,Widow,UNCHANGED
Car Man,252,Car Man,STANDARD
Office Boy,252,Office Boy,STANDARD
Ship Carpenter,252,Ship Carpenter,STANDARD
Tobacconist,252,Tobacconist,UNCHANGED
Jeweller,251,Jeweller,UNCHANGED
R.I.C. Pensioner,251,R.I.C. Pensioner,STANDARD
Wood Turner,251,Wood Turner,STANDARD
Master Tailor,250,Master Tailor,STANDARD
Reeler in Mill,249,Reeler in Mill,STANDARD
Kitchen Maid Domestic Servant,248,Kitchen Maid Domestic Servant,STANDARD
R.I.C Pensioner,248,R.I.C Pensioner,STANDARD
Pauper,247,Pauper,UNCHANGED
Rivetter,247,Rivetter,UNCHANGED
Constable R I C,246,Constable R I C,STANDARD
Farmer and Blacksmith,246,Farmer and Blacksmith,UNCHANGED
House Maid Domestic,246,House Maid Domestic,STANDARD
Linen Yarn Winder,244,Linen Yarn Winder,STANDARD
Salesman,244,Salesman,UNCHANGED
Post Office Assistant,243,Post Office Assistant,STANDARD
Housekeeper Domestic Servant,242,Housekeeper Domestic Servant,STANDARD
Land Holder,242,Land Holder,STANDARD
Electrician,241,Electrician,UNCHANGED
Packer,241,Packer,UNCHANGED
Bookkeeper,240,Bookkeeper,STANDARD
Carpenter and Joiner,240,Carpenter and Joiner,UNCHANGED
Annuities,239,Annuities,UNCHANGED
Lacemaker,239,Lacemaker,STANDARD
Spirit Grocer,238,Spirit Grocer,STANDARD
Stable Boy,238,Stable Boy,STANDARD
Engine Cleaner,237,Engine Cleaner,STANDARD
Sister,237,Sister,UNCHANGED
Telegraph Clerk,236,Telegraph Clerk,STANDARD
Household Work,232,Household Work,UNCHANGED
Mistress,229,Mistress,UNCHANGED
N. Teacher,229,N. Teacher,UNCHANGED
Retired Teacher,229,Retired Teacher,STANDARD
Railway Milesman,225,Railway Milesman,STANDARD
Unknown,225,Unknown,UNCHANGED
Domestic Servant Unemployed,223,Domestic Servant Unemployed,STANDARD
Factory,223,Factory,UNCHANGED
Sticher,223,Sticher,UNCHANGED
Boilermaker,222,Boilermaker,UNCHANGED
Dairymaid,220,Dairymaid,UNCHANGED
Machenist,220,Machenist,UNCHANGED
Clerk in Holy Orders,219,Clerk in Holy Orders,STANDARD
G Servant,219,G Servant,STANDARD
Hotel Porter,219,Hotel Porter,STANDARD
Civil Bill Officer,218,Civil Bill Officer,STANDARD
Boat Man,217,Boat Man,STANDARD
