NAME,gender,1996_count,1997_count,1998_count,1999_count,2000_count,count,90sCount
ABUBACARR,M,0,0,0,0,0,19,0
ABUBAKAR,M,11,13,15,6,15,560,60
ABU-BAKAR,M,0,3,0,0,4,35,7
ABUBAKARR,M,0,0,0,4,0,7,4
ABUBAKER,M,0,3,0,0,5,75,8
ABUBAKKAR,M,0,0,0,0,0,4,0
ABUBAKR,M,3,9,8,10,7,354,37
ABU-BAKR,M,3,6,6,3,5,210,23
ABU-HURAIRA,M,0,0,0,0,0,6,0
ABUHURAIRAH,M,0,0,0,0,0,3,0
ABUKAR,M,3,3,0,0,3,23,9
ABUL,M,23,13,11,12,9,129,68
ABU-SUFYAN,M,0,0,0,0,0,3,0
ABUZAR,M,0,0,0,0,0,13,0
ABYAAN,M,0,0,0,0,0,8,0
ABYAD,M,0,0,0,0,0,3,0
ABYAN,F,0,3,0,0,0,26,3
ABYAN,M,0,0,0,0,0,99,0
ABYGAYLE,F,0,0,0,0,3,3,3
ACE,F,0,0,0,0,0,3,0
ACELYA,F,0,0,4,0,4,48,8
ACER,M,5,3,5,5,0,168,18
ACER,F,0,0,0,0,0,3,0
ACHILLE,M,0,0,0,0,0,7,0
ACHINTYA,M,0,0,0,0,0,7,0
ACHRAF,M,0,0,0,0,3,3,3
ACHSA,F,0,0,0,0,0,3,0
ACHSAH,F,0,0,0,0,0,5,0
ACKEEM,M,0,0,0,0,0,7,0
ADA,M,0,0,0,0,0,27,0
ADAAM,M,0,0,0,0,3,20,3
ADABELLE,F,0,0,0,0,0,3,0
ADAH,F,0,0,0,0,0,33,0
ADALIA,F,0,0,0,0,0,19,0
ADALIE,F,0,0,0,0,0,3,0
ADALIND,F,0,0,0,0,0,7,0
ADALINE,F,0,0,0,0,0,21,0
ADALYN,F,0,0,0,0,0,41,0
ADALYNN,F,0,0,0,0,0,15,0
ADAMA,M,0,0,0,0,0,15,0
ADAMAS,M,0,0,0,0,0,50,0
ADA-MAY,F,0,0,0,0,0,11,0
ADAM-JAMES,M,0,0,0,0,0,3,0
ADAM-JUNIOR,M,0,0,0,0,0,13,0
ADAMO,M,0,0,0,0,0,3,0
ADAMS,M,0,0,0,0,0,12,0
ADAN,F,0,0,0,0,0,43,0
ADANA,F,0,0,0,0,0,9,0
ADAOBI,F,0,0,0,0,0,11,0
ADAORA,F,0,0,0,0,0,51,0
ADAR,F,0,0,0,0,0,3,0
ADA-ROSE,F,0,0,0,0,0,15,0
ADARSH,M,4,3,0,0,3,66,10
ADAS,M,0,0,0,0,0,45,0
ADAUGO,F,0,0,0,0,0,11,0
ADAYA,F,0,0,0,0,0,4,0
ADDAI,M,0,0,0,0,0,3,0
ADDAM,M,5,4,0,3,0,16,12
ADDIE,F,0,0,0,0,0,10,0
ADDIEN,F,0,0,0,0,0,3,0
ADDIENA,F,0,0,0,0,0,9,0
ADDILYN,F,0,0,0,0,0,7,0
ADDIS,M,0,0,0,0,0,3,0
ADDISYN,F,0,0,0,0,0,3,0
ADDYSON,F,0,0,0,0,0,20,0
ADDYSON,M,0,0,0,0,0,3,0
ADE,M,0,0,0,0,0,3,0
ADEA,F,0,0,0,0,0,36,0
ADEANA,F,0,0,0,0,0,3,0
ADEBISI,F,0,0,0,0,0,3,0
ADEBOLA,F,0,0,0,0,0,28,0
ADEBOLA,M,0,0,0,0,0,9,0
