firstNameCap,count
ELLIA,47
ENGENE,47
HENERITTA,47
HUMPHERY,47
MARG,47
MARGRATH,47
MAUDIE,47
ROBET,47
ROSALINE,47
STEVEN,47
SUSSANNA,47
THEOBALD,47
BENJAMINE,46
DENNY,46
ELIZEBATH,46
FANY,46
JEFFERY,46
JOHANNO,46
JONES,46
LINDSAY,46
MICKAEL,46
PATSY,46
PATTIE,46
SHEELAH,46
WINNIEFRED,46
ALBERTA,45
ALIZA,45
ANISTATIA,45
CATTIE,45
ELZA,45
HARIETT,45
JENNEY,45
JULIANNA,45
LATITIA,45
LEVINA,45
MADGEY,45
MAIRY,45
MARAGARET,45
MARGARETA,45
MIGGIE,45
ONNEY,45
PHELIX,45
ROADY,45
RYAN,45
SARAHANN,45
ADALINE,44
CHARLOT,44
DANEL,44
ELANOR,44
ELISHA,44
FINLAY,44
FREDA,44
JAN,44
JER,44
MARGRT,44
NORAGH,44
REBEECA,44
RETA,44
RICHARDSON,44
WILLEY,44
ANNASTASIA,43
ARMSTRONG,43
BELENDA,43
BOYD,43
BRYCE,43
CATTY,43
CECLIA,43
CHRISSIE,43
CRISTY,43
DALY,43
DENNIE,43
FOSTER,43
FRANCE,43
GEORGENIA,43
GIBSON,43
HENERIETTA,43
IVAN,43
JOHNNA,43
JOSPH,43
JUILA,43
LETTY,43
MARRIANNE,43
MARYA,43
PHILIPS,43
PIERSE,43
SICILY,43
SIMPSON,43
STEPHAN,43
WILFRID,43
AUBREY,42
BROWN,42
CHATHERINE,42
CHRISTENIA,42
CISSY,42
CLIFFORD,42
COLUMB,42
FLORINDA,42
HENRIETTE,42
HIRAM,42
IRIS,42
JANETTA,42
JOCIE,42
JOSEPHENA,42
KAT,42
KATRINE,42
MICKEY,42
NILLIE,42
RICH,42
ROBIN,42
THOMS,42
THRESA,42
WILLIAMINA,42
ACHESON,41
ALIC,41
BRENDAN,41
CATHORINE,41
CORNELIEUS,41
DENES,41
ELIN,41
ELIZAH,41
EMELIA,41
EUGENIE,41
FLORIE,41
HANORIAH,41
HARRIE,41
HARRIOT,41
HENREY,41
HERBET,41
MALCOM,41
MARGORY,41
PATER,41
ROSEANA,41
RUSSELL,41
SARH,41
TAGUE,41
ABEL,40
ANNI,40
BRIDGHET,40
CARLINE,40
ELLENER,40
