NAME,gender,count,90sCount,AdjustedCount
ADA,M,27,0,9
ADAAM,M,20,3,20
ADABELLE,F,3,0,1
ADAH,F,33,0,11
ADALIA,F,19,0,6
ADALIE,F,3,0,1
ADALIND,F,7,0,2
ADALINE,F,21,0,7
ADALYN,F,41,0,14
ADALYNN,F,15,0,5
ADAMA,M,15,0,5
ADAMAS,M,50,0,17
ADA-MAY,F,11,0,4
ADAM-JAMES,M,3,0,1
ADAM-JUNIOR,M,13,0,4
ADAMO,M,3,0,1
ADAMS,M,12,0,4
ADAN,F,43,0,14
ADANA,F,9,0,3
ADAOBI,F,11,0,4
ADAORA,F,51,0,17
ADAR,F,3,0,1
ADA-ROSE,F,15,0,5
ADARSH,M,66,10,66
ADAS,M,45,0,15
ADAUGO,F,11,0,4
ADAYA,F,4,0,1
ADDAI,M,3,0,1
ADDAM,M,16,12,16
ADDIE,F,10,0,3
ADDIEN,F,3,0,1
ADDIENA,F,9,0,3
ADDILYN,F,7,0,2
ADDIS,M,3,0,1
ADDISYN,F,3,0,1
ADDYSON,F,20,0,7
ADDYSON,M,3,0,1
ADE,M,3,0,1
ADEA,F,36,0,12
ADEANA,F,3,0,1
ADEBISI,F,3,0,1
ADEBOLA,F,28,0,9
ADEBOLA,M,9,0,3
ADEBOWALE,M,25,0,8
ADEBOYE,M,3,0,1
ADEDAMOLA,M,64,14,64
ADEDAPO,M,11,7,11
ADEDAYO,F,7,4,7
ADEDAYO,M,25,8,25
ADEDEJI,M,21,3,21
ADEDOLAPO,F,9,0,3
ADEDOTUN,M,9,3,9
ADEDOYIN,F,17,3,17
ADEDOYIN,M,3,0,1
ADEE,M,3,0,1
ADEEB,M,172,48,172
ADEEBA,F,193,56,193
ADEELA,F,75,29,75
ADEEM,M,3,0,1
ADEEN,F,3,0,1
ADEEN,M,6,0,2
ADEENA,F,201,12,201
ADEESA,F,3,3,3
ADEEVA,F,6,0,2
ADEKEMI,F,7,7,7
ADEKUNLE,M,20,11,20
ADELEKE,M,3,0,1
ADELYN,F,37,0,12
ADELYNN,F,11,0,4
ADEMAYOWA,M,3,3,3
ADEMIDE,F,3,0,1
ADEN,F,19,0,6
ADENA,F,7,4,7
ADEOLA,M,12,6,12
ADEOLU,M,6,0,2
ADEOLUWA,M,35,6,35
ADEREMI,M,3,0,1
ADERINSOLA,F,37,3,37
ADERYN,F,29,0,10
ADESEWA,F,17,0,6
ADESH,M,14,0,5
ADESOLA,F,25,4,25
ADESUWA,F,33,3,33
ADETAYO,M,6,0,2
ADETOKUNBO,M,45,0,15
ADETOLA,F,13,6,13
ADETOLA,M,12,6,12
ADETOMIWA,M,4,0,1
ADETOUN,F,4,0,1
ADEWONUOLA,F,6,0,2
